pk,spot_lng,spot_lat,spot_category,spot_pic,spot_content,spot_name,spot_url
26,139.634553,35.4572701,3,,コンサートなどが催されます。,横浜みなとみらいホール,http://www.yaf.or.jp/mmh
27,139.6262456,35.4503987,4,,text,伊勢山皇大神宮,http://www.iseyama.jp/
28,139.632331,35.456459,2,,text,クィーンズスクエア横浜,http://www.qsy-tqc.jp/
29,139.6434137,35.4521373,6,,"9/30,10/16 (2016年現在)",オクトーバーフェスト 赤煉瓦倉庫前ひろば,http://www.yokohama-akarenga.jp/oktoberfest2016/
30,139.6300954,35.4477795,6,,毎年４月下旬頃開催,野毛大道芸,ttp://www.noge-net.com/daidogei.htm
31,139.6387944,35.4552786,3,,text,運河パーク,
32,139.63287,35.4539121,6,,祝日に開催,満船飾,http://www.nippon-maru.or.jp/event/mansen.html
33,139.6250789,35.4538955,3,,text,掃部山公園,http://www.city.yokohama.lg.jp/nishi/miryoku/kouen/kamonyamakoen.html
34,139.6404555,35.4546232,5,,text,海外移住資料館,http://www.jomm.jp/
35,139.6366807,35.4552036,6,,11月〜2月に開催(2016年),コスモ ワールド イルミネーション,http://cosmoworld.jp/
36,139.629795,35.45911,3,,text,グランモール公園,
37,139.6316896,35.4499709,4,,text,鉄道発祥記念碑,
38,139.639083,35.452036,4,,text,万国橋,
39,139.642178,35.4446993,4,,text,ボート・トレイン横浜港駅跡,
40,139.6401278,35.4521373,4,,text,旧税関事務所遺構,http://www.city.yokohama.lg.jp/naka/sighthist/etizu/04.html
41,139.642178,35.4446993,3,,text,山下臨港線プロムナード,
42,139.6295464,35.4565801,5,,展示内容が子供向けなので、大人が行くと若干物足りなさを感じる。ただ、最新の技術を小学生にも分かりやすく伝わるようにと展示に工夫が凝らされていて、好感がもてた。夏休みなどに家族連れで行くと子供が喜ぶと思う。,三菱みなとみらい技術館,http://www.mhi.co.jp/museum/
43,139.6464765,35.44770492,3,uploaded_pic/5-46-20130831112233.JPG,海に面した公園。その時々でイベントが催され、私が観光したときは大道芸が行われていた。,山下公園,http://www.city.yokohama.lg.jp/kankyo/park/yokohama/kouen008.html
44,139.6480295,35.44251307,3,uploaded_pic/5-47-20130831223850.jpg,中華街の総合エンターテイメント施設。大規模なフードコートや、中華街のお土産ショップ、衣装レンタル、トリックアートミュージアムなどがある。,横浜大世界,http://www.daska.jp/top.html
45,139.6447223,35.44815198,1,uploaded_pic/31-48-20131006112233.jpeg,創業から40年以上の老舗のレストランです。日本では北欧料理をいただけるレストランが少ないので、記念日などでの食事におすすめです。,北欧料理レストラン「スカンディヤ」,http://www.scandia-yokohama.jp/
46,139.6451944,35.4475052,2,uploaded_pic/31-49-20131006112233.jpeg,神奈川県観光協会が運営し、神奈川の名産品を紹介・販売するアンテナショップです。シルクセンターの1階にあります。神奈川県は隠れたお茶の生産地（足柄茶）ですので、ぜひ試してください。,物産・観光プラザ「かながわ屋」 ,http://www.kanagawaya.com/
47,139.6447223,35.4481782,1,uploaded_pic/31-50-20131006112233.jpeg,大桟橋近くにあるラーメン屋さんです。一見、ラーメン屋ではなく、カフェではないかと思う外観です。ラーメン屋ではありますが、激辛カレーも食べることができます。,ザ・ラーメン屋,
48,139.6404523,35.45469607,1,,JICA横浜の3階にあるカフェですが、一般の人々も利用できます。世界各地の料理を食べることができますし、イスラム教徒の皆さん用のHALAL　MEATを使用したメニューまで用意されています。特にランチは手ごろな値段設定です。,ポート テラス カフェ,https://www.jica.go.jp/yokohama/office/restaurant/
49,139.6349162,35.4473304,1,,明治初期の開港当時の西洋風の建物をさのまま再現した概観です。高島屋（横浜駅店、新横浜駅店）などにも支店があり、横浜でも有数の老舗です。レストラン、酒場、カフェがあります。ある推理小説の舞台になったといううわさもあります。,馬車道十番館,http://www.yokohama-jyubankan.co.jp/
50,139.6477586,35.44337972,1,,中華街付近でお茶をしたいときに、おすすめのカフェです。もちろん、チャイが中心のメニューですが、ベトナムコーヒーやラッシーなどもあります。お茶だけではなく、珍しいエスニック料理の食事もできます。,Chai Tea Caf_,http://www.chaiteacafe.jp/
51,139.6496522,35.44477515,1,,ホテルニューグランドの1階にあるカフェです。メニューにはデザート類が多いのですが、昔ながらの洋食もあります。ドリア、ナポリタン、プリンアラモードは、このカフェが発祥だと言われています。山下公園越しの港が見られ、横浜らしい雰囲気を味わえます。,ザ・カフェ ,http://www.hotel-newgrand.co.jp/
52,139.6560681,35.43890131,1,,港の見える丘公園の中の神奈川近代文学館の中にあるカフェです。公園に来て、港の景色を楽しむのもよいのですが、神奈川県に縁がある作家は多いので、展示を見るのもおもしろいです。近くには大佛次郎記念館もありますので、文学の散歩の途中に立ち寄るとよいでしょう。,神奈川近代文学館 喫茶室 ,http://www.kanabun.or.jp/
53,139.6487027,35.44080992,1,uploaded_pic/31-56-20131006181111.jpg,横浜に居留地があった1924年に創業した洋菓子屋です。その当時に、付近に住む外国人の要望に応えて、持ち込むレシピどおりにケーキを作っていたそうです。ケーキ以外にも、ヨーロッパの伝統的な洋菓子がいっぱいあり、選ぶのが困るほどでした。,喜久家洋菓子舗 ,http://kiku-ya.jp/
54,139.6497113,35.44040783,2,,全国的にも有名な老舗の靴屋の元町の本店です。全国のデパートにも支店があるので、多くの方が知っていると思います。店員さんに相談しやすく、本当に歩きやすい靴を用意していただけますので、靴や足に悩みがある人にはおすすめです。,ミハマ元町本店,http://www.mihama-shoes.co.jp/
55,139.6467836,35.439866,2,,「ミハマの靴、キタムラの鞄」とよく言われ、おなじみの「K」のロゴマークとともに、有名な老舗鞄屋です。キタムラも、全国に多くの支店があります。最近は、カラフルな色づかいのものが増えているので、ぜひ覗いてみてはいかがでしょうか。,キタムラ元町本店,http://www.motomachi-kitamura.com/
56,139.6475387,35.45114935,1,,このカフェは横浜港の大桟橋の上にあり、横浜港、ベイブリッジが目の前にあります。ランチタイムも風景がきれいですが、夜のライトアップされた夜景はロマンチックな雰囲気があります。ぜひ、カップルで訪問してください。,Harbor's Cafe 横浜港大さん橋店,http://www.itca-1975.co.jp/harbor_osan/
57,139.648397,35.44161714,1,uploaded_pic/31-61-20131007181111.jpg,フカヒレ料理の有名な中華料理店です。中華街に二軒あります。,三国志,
58,139.6476567,35.44206292,4,uploaded_pic/31-62-20131007181111.jpg,海の神様です。入口でお詣りの方法を教えてくれます。,横濱媽祖廟(よこはままそびょう),http://www.yokohama-masobyo.jp/
59,139.6464819,35.44358381,1,uploaded_pic/31-63-20131007181111.jpg,中華街のお寿司屋さんです。平日のランチがお値打ちです。,すしざんまい,
60,139.645189,35.44248248,4,uploaded_pic/31-64-20131007181111.jpg,中華街の中心にあります。中華街に来たら、まずお参りを。,関帝廟,http://www.yokohama-kanteibyo.com/
61,139.650017,35.44122817,1,uploaded_pic/31-65-20131007181111.jpg,カップが選べるカフェです。元町でのショッピンクの途中に休める場所です。,珈琲・紅茶　無,
62,139.6547806,35.43875009,1,,山手111番館の喫茶室です。ローズガーデンに面しています。,えの木てい,http://www.enokitei.jp/
63,139.6553385,35.43961546,1,,大佛次郎記念館の中にあります。作品から店名を取り、大佛夫人が始めたそうです。,ティールーム霧笛,
64,139.6529138,35.43765744,5,,猫をテーマとした美術作品が集まっています。藤田嗣治の作品もあります。猫好きにはいちおしです。,ヨコハマ猫の美術館,
65,139.6506554,35.44084794,1,uploaded_pic/31-69-20131007181111.jpg,元町の老舗のパン屋です。日本で一番古い手作りパン屋で、月曜日が定休日です。,ウチキパン,http://www.uchikipan.com/
66,139.6426034,35.44807288,4,uploaded_pic/31-70-20131007190925.jpg,帝冠様式と呼ばれるキングの塔があります。6階屋上（一般立ち入り可能）から横浜港が一望できます。,神奈川県庁本庁舎,http://www.pref.kanagawa.jp/cnt/f380088/
67,139.6448162,35.44536535,1,uploaded_pic/31-71-20131007191710.jpg,みなとみらい線の日本大通り駅周辺にある昔ながらの洋食屋さんです。ピザやパスタが専門とのことですが、日本の伝統的な洋食もメニューにあります。ランチタイムには大賑わいでした。おひとり様でも入りやすいですよ。,レストラン　トレビ,
68,139.6508083,35.44142331,1,uploaded_pic/31-72-20131007192246.jpg,みなとみらい線の元町・中華街駅前の元町入口にあります。小さなクレープ屋さんで、ショッピング途中のおやつにぴったりです。お店の前のテーブル以外にも、元町の通りにはベンチがありますので、座ってゆっくり食べられます。,CREPE　ドン,
69,139.646506,35.44377894,1,uploaded_pic/31-73-20131007192922.jpg,明治27年創業の中華街のブタまん屋です。横浜中華街で最大規模のブタまんだそうです。角煮まん、焼き豚などもありますし、お取り寄せもできるそうです。中華街には本店以外にも、ほかに3店舗あります。,ブタまんの江戸清本店,
70,139.6442503,35.44291646,1,uploaded_pic/31-74-20131007193457.jpg,1階は中華の食材・お土産とカフェ、2階・3階は中華のファーストフードのお店があります。かなりカジュアルなお店ですので、中華街の散策中にふらっと入れそうです。,聘珍茶寮,
71,139.6468896,35.44403526,1,,朝陽門近くのローズホテルの1階にあります。四川料理の専門店で、やはり麻婆豆腐が有名だそうです。,重慶飯店,http://www.rosehotelyokohama.com
72,139.6456477,35.44364783,1,uploaded_pic/31-76-20131007181111.jpg,創業120年の日本最古の中華レストランです。日本国内だけではなく、香港やバンコクにも支店があり、百貨店でも食品を売っています。広東料理ですので、日本人には食べやすいと思います。,聘珍樓横浜本店,http://www.heichin.com/
73,139.6460313,35.43900052,2,,岩手県一戸町の産品を中心に岩手県産品を販売するアンテナショップです。店員さんのお話では、安心・安全にこだわる食材を販売しているそうです。元町商店街のJR石川町駅側にありますので、元町でのショッピングの途中に寄ることができます。,ナチュラルエッセイ,
74,139.6286666,35.45895101,1,,ランドマークタワー5階のタワーダイニングにあります。アメリカ料理とともに、ジャズの生演奏が楽しめます。事前に窓際席を予約すると、みなとみらいの夜景も楽しめますよ。,MANGIA MANGIA,
75,139.6329367,35.45629432,1,,ニンニク料理の専門店です。しかし、オリーブオイルをベースににんにくのソースを作っているせいか、とてもまろやかな味の料理が多いです。元気になりたい時にどうぞ。,ガーリックジョーンズ,
76,139.6428287,35.44633706,5,uploaded_pic/31-81-20131007211838.jpg,横浜文化情報センター内にあり、日本で珍しい新聞の博物館です。カフェやミュージアムショップも併設されています。みなとみらい線の日本大通り駅のすぐ近くです。,日本新聞博物館,http://newspark.jp/newspark/
77,139.6249062,35.46312495,5,,たくさんの鉄道模型、壮大なジオラマが見どころ。,原鉄道模型博物館,http://www.hara-mrm.com/
78,139.6307212,35.45515253,1,,台湾の小皿料理のレストランです。ランチメニューが充実していて、夕方には105円の小皿料理もあるそうです。お値打ちですね。ランドマークタワー5階にありますので、夜は夜景もきれいです。,阿里山城,
79,139.6291977,35.4588929,1,,本格的なタイ料理の店で、店内にハーブやスパイスが飾られています。落ち着いた雰囲気の中で、アジアンテーストを楽しむことができます。,mm THAI,
80,139.6444649,35.44535508,1,,関内のホテルJALシティの1階にあるカフェ＆レストランです。ランチタイムが女性に大人気です。特製サラダ、デザートが特におすすめです。,シルク,
81,139.631955,35.45599151,1,,イタリアンが基本ですが、和風、洋風の様々な料理が楽しめます。お値打ちの料金で、女子会を楽しめます。ランチタイムも大人気のようです。,Italian baru TriBeCa,
82,139.642362,35.44491806,1,,横浜銘菓「ありあけハーバー」の本店で、多くのオリジナルスイーツが販売されています。カフェも併設されているので、その場でおいしいお菓子を楽しめますよ。,ハーバーズムーン,
83,139.6313864,35.45474178,1,,横浜ロイヤルパークホテルの70階にあり、横浜港を一望できます。特に夜景はすばらしいです。,スカイラウンジシリウス,
84,139.6390039,35.45281908,1,,ナビオス横浜ホテルの3階にあります。赤レンガ倉庫とベイブリッジが目の前で見られます。,シーメンズクラブ,
85,139.6465355,35.4429252,1,,創業50余年の上海料理店の老舗です。孫麻婆豆腐が絶品です。濃厚ではありますが、少々辛目の味付けかも。本館以外にも、新館、別館、土産館が中華街にあります。,四五六菜館本館,
86,139.645417,35.4436297,1,,水餃子が美味しい中華料理店です。休日は行列ができてることも！,山東（サントン）,
87,139.6232915,35.44623218,3,,「誰もが気軽に訪れ、憩い、癒される動物園 小さな子どもが初めて動物 に出会い、ふれあい、命を感じる動物園」をコンセプトとした、横浜市営の動物園です。家族で出かけると、みんなが楽しめます。ただし、中心部から少し離れているので、横浜市営バスを利用した方がよいでしょう。近くには野毛山公園があります。,野毛山動物園,http://www2.nogeyama-zoo.org/
88,139.649215,35.44032632,1,uploaded_pic/31-167-20131026182722.jpg,元町の裏通りにある白い異人館風のフレンチレストランです。1階は洋風のレストラン、2階は和風の座敷になっていますので、お好みの方で食事を楽しめます。,仏蘭西料亭　霧笛楼,
89,139.6412677,35.44730418,4,uploaded_pic/31-94-20131008192418.jpg,横浜開港50周年を記念し、市民の寄付金により、1917年に建設されました。「ジャックの塔」を持ち、横浜の代表的建造物です。展示からは港町としての歴史がわかります。,横浜市開港記念会館,http://www.city.yokohama.lg.jp/naka/kaikou/
90,139.6451837,35.44734788,5,uploaded_pic/31-95-20131008112233.jpeg,横浜は開港以来、外国人が多く居住してきたおかげで、シルクの街としての歴史もあります。日本の養蚕産業の発展、絹貿易の歴史が展示されていますし、体験学習の施設、ミュージアムショップも併設されています。,シルク博物館,http://www.silkmuseum.or.jp/
91,139.643864,35.44690213,4,uploaded_pic/31-96-20131008194352.jpg,日本では最古のプロテスタント教会です。ゴシック様式の建物で、みなとみらい線の日本大通り駅から、大桟橋に向かう途中にあります。,横浜海岸教会,http://www.kaiganchurch.or.jp/
92,139.6528119,35.43932394,1,,フレンチ料理のレストランですが、建物は歴史的建造物です。明治100年際を記念して、1967年に建てられました。,山手十番館,http://www.yamate-jyubankan.yokohama/
93,139.6529621,35.43758445,5,,北原照久氏のブリキ玩具,ブリキのおもちゃ館,http://www.toysclub.co.jp/muse/tintoy.html
94,139.6468896,35.44609207,1,,県民ホールの6階にあるフレンチレストランです。窓際席から、横浜港、大桟橋、山下公園、ベイブリッジが望めます。,英一番館,
95,139.6433383,35.44610676,5,uploaded_pic/31-100-20131008112233.jpeg,ユーラシア大陸（ヨーロッパとアジア）を対象とした博物館です。東洋学者江上波夫さんが横浜市に寄贈した考古・歴史・美術・民族資料約2500点、文献資料約25000点をもとに、2003年に開館されました。展示品はやや専門的ですが、ヨーロッパとアジアの文化を連続的に捉えようとする博物館の目的は斬新です。,横浜ユーラシア文化館,http://www.eurasia.city.yokohama.jp/
96,139.6473509,35.44544249,1,,創業以来40年が経過する老舗のイタリアンレストランです。常連さんが多く、親しみやすいレストランです。,ローマステーション,
97,139.6524149,35.43817011,4,uploaded_pic/31-102-20131008201947.jpg,1863年に横浜に居留していた英米人が、日本で初めて建てたイギリス国教会の教会です。当時はイギリス寺と呼ばれたそうです。現存の建物は、戦後にアメリカの援助で修復したものです。,横浜山手聖公会,http://anglican.jp/ssi-def/yamate/
98,139.6361393,35.44907843,5,,中世鎌倉、戦国後北条、開国と文明開化など、日本の歴史の主要な舞台となった時期の神奈川県の歴史を紹介しています。1904年に建設された旧横浜正金銀行の建物を利用しています。今でも馬車道のシンボル的な建築物です。,神奈川県立歴史博物館,http://ch.kanagawa-museum.jp/
99,139.6384192,35.45598583,6,,湯河原温泉と熱海温泉の源泉の湯を運び入れる温泉です。観光で疲れた時に休める場所として良いと思います。,横浜みなとみらい万葉倶楽部,http://www.manyo.co.jp/mm21/
100,139.643225,35.449619,3,,大さん橋国際客船ターミナルのつけねから左手方向へ延びている防波堤が、上から見ると象の鼻に似ていることから、通称「象の鼻」と呼ばれるようになりました。横浜港は象の鼻地区から始まったとのことです。開港150周年の平成21年6月2日（開港記念日）に、オープンしました。,象の鼻パーク,http://www.city.yokohama.lg.jp/kowan/guide/gaiyou/zounohana/
101,139.6546841,35.44063816,3,uploaded_pic/31-109-20131009112233.JPG,山下公園と並んで、横浜を代表する公園です。横浜港の眺望がすばらしく、特に夜景の美しさは有名です。終戦直後の1948年にヒットした流行歌「港が見える丘」にちなんで命名され、1962年に開園したそうです。園内には大佛次郎記念館、神奈川近代文学館などもあります。,港の見える丘公園,http://www.city.yokohama.lg.jp/kankyo/park/yokohama/kouen007.html
102,139.6440518,35.44256115,1,,上海料理の中華レストランで、「馬さんの店　龍仙」として有名です。朝７時から深夜３時まで営業しており、まずはリーズナブルな値段だそうです。市場通りに支店を開設したそうです。,龍仙,
103,139.6473616,35.43984491,2,,創業以来50年という老舗のスーパーで、輸入食材、ユニオンオリジナルのプライベートブランド商品などを扱っています。珍しい食材が多いので、元町でのショッピングの途中に寄るのも楽しいです。,もとまちユニオン元町店,http://unionex.co.jp/
104,139.6516854,35.44350208,4,uploaded_pic/31-112-20131010184807.jpg,横浜港のシンボルです。マリンタワーの上からは、横浜港、みなとみらい、赤レンガ倉庫、山下公園が一望できます。,マリンタワー,http://marinetower.jp/
105,139.6436682,35.44675507,1,,和洋折衷の創作料理のレストランで、本店は鎌倉にあります。様々なメニューが用意されているのですが、ローストビーフが最も有名です。みなとみらい線の日本大通り駅のすぐ近くに関内店がありますが、横浜市内には横浜駅東口のスカイビル29階にも支店があります。,鎌倉山　横浜関内店,
106,139.6440625,35.43667491,3,,坂道を登っていく必要はありますが、周辺の街並みもすてきなので、あまりつらく感じません。無料の庭園ですし、特にバラの季節は美しいそうです。,イタリア山庭園,http://park.hama-midorinokyokai.or.jp/park-details/yamate-italia
107,139.629069,35.44903473,4,,玉置宏さんが館長を務めていることで有名で、落語や演芸、寄席を楽しめる演芸場です。外には幟や提灯があるので、わかりやすいです。横浜の中心部に日本の伝統芸能の演芸場があることに驚きました。,横浜にぎわい座,http://www.yaf.or.jp/nigiwaiza/
108,139.629482,35.43477538,4,,昭和初期に銭湯の2階からスタートしたという、ユニークな歴史を持つ劇場です。落語や漫談、演歌ショーが見られるそうです。,三吉演芸場,http://miyoshiengeijo.web.fc2.com/
109,139.6520931,35.43955995,4,uploaded_pic/31-117-20131010112233.jpg,1800年代から開国後に日本を訪れた外国の人々の墓地です。周辺には洋館も多く、異国情緒溢れた雰囲気を感じることができます。,外国人墓地,http://www.yfgc-japan.com/
110,139.6274865,35.44215295,1,,文明開化をきっかけに、いち早く牛鍋を考案した老舗です。日本の牛鍋発祥の店です。明治時代の牛鍋は牛肉とネギだけだったそう。,太田なわのれん,
111,139.6349484,35.44711189,1,,外国人コックから肉料理を伝授された初代が、昭和2年に創業した老舗のとんかつ屋です。棟方志功の版画作品が飾られているということも、見どころの一つです。,勝烈庵総本店,
112,139.6362305,35.44735968,2,,約300種類の品ぞろえのスカーフ専門店です。もともと横浜はシルクで有名ですが、スカーフの大規模な専門店もあるんですね。ショーウィンドを見るだけでも、すてきです。,THE SCARF,
113,139.6267381,35.44018647,1,,大正2年（1913年）創業のイセザキモールの老舗洋菓子屋です。ドーム型ケーキ「ボストン」が名物で、1960年に誕生したそうです。ほかにも20種類以上のケーキがあるそうです。喫茶ルームもあります。,浜志゛まん,
114,139.6292299,35.44160534,2,,明治43年（1901年）創業の老舗の帽子専門店です。サイズも種類も豊富なようです。,西川帽子,http://hat-nishikawa.com/
115,139.6388805,35.44556179,1,,国内外の有名ミュージシャンが連日演奏する老舗のジャズのライブハウスです。カクテルとフレンチベースの料理も楽しめます。横浜スタジアムのすぐ近くです。,Bar Bar Bar,http://www.barbarbar.jp/
116,139.6362358,35.44442859,1,,1872年（明治5年）創業の天ぷら専門店です。濱天丼は創業当時の味を再現したそうです。JR関内駅前です。,天吉,
117,139.6391273,35.45401596,1,,インド料理＆ジャズという斬新な取り合わせを楽しめます。毎月第3金曜日は「フライデージャズナイト」で、ジャズピアニストの石田桃子さんのライブがあります。横浜ワールドポーターズの5階です。桜木町から行く人は、汽車道を通って行くことをおすすめします。,GARA yokohama,
118,139.6497622,35.44108679,2,,元町の老舗ジュエリーショップで、全国にも支店があります。おしゃれな直営カフェ「アルジェンテリア」もすぐ近くにあります。,スタージュエリー元町本店,http://www.star-jewelry.com/
119,139.6308607,35.44721678,1,,昔ながらの洋食店です。貝の形の鉄板で出てくる煮込みハンバーグが有名です。,洋食キムラ,
120,139.6297771,35.44790725,1,,地元で大人気の和菓子屋です。横浜みやげの大銅鑼焼きがおすすめです。,もみぢ菓子司舗,
121,139.6442074,35.44738284,3,uploaded_pic/31-130-20131017190600.jpg,日米和親条約締結の地として有名な開港広場です。球形のモニュメントは日米和親条約締結の地碑で、奥には横浜海岸教会が見えます。,開港広場,
122,139.6383494,35.45068658,1,uploaded_pic/31-131-20131017191106.jpg,伊勢佐木町の本店は明治28年創業の牛鍋の老舗です。万國橋のたもとにあります。,荒井屋万國橋店,
123,139.6368018,35.44892264,4,uploaded_pic/31-132-20131017191511.jpg,下岡蓮杖が1862年に日本初の写真店を開業した場所です。ユニークな形のモニュメントで、神奈川県立歴史博物館の近くにあります。,日本写真の発祥の地碑(写真の開祖 下岡蓮杖顕彰碑),
124,139.635859,35.44748783,4,uploaded_pic/31-133-20131017192008.jpg,明治5年に日本で初めて、馬車道に沿ってガス灯が点灯されたそうです。関内ホール前には復元されたオレンジ色のガス灯があります。,日本初のガス灯,
125,139.6362278,35.44800492,1,uploaded_pic/31-134-20131017192524.jpg,平塚市に本店がある生チョコレート菓子・発祥の店の支店で、みなとみらいにも支店があります。,SILS MARIA 馬車道店,https://www.silsmaria.jp/shop
126,139.6356377,35.44709594,4,uploaded_pic/31-135-20131017192838.jpg,太陽の母子像と呼ばれていますが、アイスクリームの発祥の地の記念碑です。その当時の味を復刻した馬車道アイスを、レストラン相生本店で味わうことができます。,アイスクリーム発祥の地碑(太陽の母子像),
127,139.6352555,35.44668591,4,uploaded_pic/31-136-20131017193548.jpg,日本で最初に街路樹が植えられたのも横浜でした。慶応3年に、馬車道の商店街の人々が街を美しくしたいという目的で植林したそうです。馬車道では緑の街路樹とレンガ色の街路が美しいので、散歩が楽しめます。,近代的街路樹発祥地碑,
128,139.6339694,35.44527358,4,uploaded_pic/31-139-20131017195025.jpg,明治2年にイギリス人の土木技師ブラントンが設計した鉄橋です。吉田橋よりも海側が外国人の居留地、陸側が日本人町で分けられていました。鉄製で、通行料を徴収する橋であるため、「カネの橋」と当時は呼ばれていたそうです。今は、馬車道とイセザキモールの境界になっています。,吉田橋関門跡,
129,139.6338433,35.44516279,2,uploaded_pic/31-138-20131017194759.jpg,イセザキモールの入口です。海側のみなとみらい21地区とは雰囲気がかなり異なり、下町の商店街です。昭和25年まで米軍に接収されていたそうですが、今は明るいショッピングモールです。ぜひ「イセブラ」を楽しんでください。,イセザキモール,http://www.isezaki.jp/
130,139.6283689,35.44111301,4,uploaded_pic/31-140-20131017195613.jpg,イセザキモール4丁目にあります。昭和40年代にヒットした青江三奈さんの「伊勢佐木町ブルース」にちなんでいるそうです。イセザキモールは現在は7丁目まであり、約1.5kmにもなるそうです。,伊勢佐木町ブルースの歌碑,
131,139.6382073,35.44499825,4,uploaded_pic/31-141-20131017200425.jpg,関内荒井ビルの壁に、1998年に横浜ベイスターズが日本一になった時の監督、コーチ、主力メンバーの手形がありました。,横浜ベイスターズ優勝記念碑 煌,http://www.city.yokohama.lg.jp/naka/sighthist/etizu/18.html
132,139.6400177,35.44439057,3,uploaded_pic/31-142-20131017200701.jpg,横浜スタジアム周辺の公園です。ここも吉田橋と同じく、ブラントンが設計した公園だそうです。日本最初の洋式公園記念碑がありました。,横浜公園,http://www.city.yokohama.lg.jp/kankyo/park/yokohama/kouen012.html
133,139.63983,35.44543375,1,uploaded_pic/31-143-20131018114835.jpg,「コーヒーの大学院」という別名があるほど、コーヒーにこだわりを持つ有名なカフェです。洋食の食事もできますし、スィーツも味わうことができます。内装もすてきですので、コーヒーが好きな人はぜひご訪問ください。,ルミエール・ド・パリ,
134,139.6323413,35.45496026,1,,ランドマークプラザドッグヤードガーデンB2Fにあります。世界50ヶ国、約250種類以上のビールがそろっています。,世界のビール博物館　横浜店,http://www.world-liquor-importers.co.jp/yokohama/
135,139.6310967,35.44879874,1,,ブリーズベイホテルの1階にあるカフェです。のんびりとケーキと飲み物を楽しめます。根岸線の桜木町のすぐ近くですので、気軽に立ち寄ることができます。,コーヒーハウス　ドルチェ,
136,139.633331,35.44511625,1,,イセザキモールの関内駅寄りの入口のすぐ近くにあります。明治36年創業の関東風おでんの老舗です。野毛の屋台から始まった店だそうで、常連さんも多いようです。,野毛おでん,
137,139.6470103,35.44324576,1,,北京料理の老舗です。北京ダッグ、フカヒレなどの日本でおなじみの中華料理です。近くには新館もありますし、月餅などの中華菓子も販売しています。,華正樓本店,
138,139.6441752,35.44173645,1,,約40種類の中国茶があり、オリジナルなデザートもあります。1階は中国茶と中国茶器を販売し、2階が喫茶室です。中国のアンティーク家具に囲まれて、中国茶の楽しめます。,悟空茶荘,
139,139.6518624,35.44323681,5,uploaded_pic/31-154-20131022173554.jpg,世界各国からの人形を集めた博物館です。4階には日曜日などに人形劇を上演するあかいくつ劇場があります。入口横には赤い靴とからくり人形があります。,横浜人形の家,http://www.doll-museum.jp/
